Gene_Pair_id	Gene1_id	Gene1_name	Gene1_chromosome	Gene1_strand	Gene1_chr_start	Gene1_chr_end	Gene2_id	Gene2_name	Gene2_chromosome	Gene2_strand	Gene2_chr_start	Gene2_chr_end
9826	GOODH_1140023	RNASE6	chr14	+	20319050	20320466	GOODM_1140142	Rnase6	chr14	+	51748765	51750699
9827	GOODH_1160343	MARVELD3	chr16	+	70217571	70233367	GOODM_0080343	Marveld3	chr8	-	112471814	112486072
9828	GOODH_1170227	THRA	chr17	+	35472589	35503644	GOODM_1110544	Thra	chr11	+	98603187	98626425
9829	GOODH_1190117	ANGPTL4	chr19	+	8335011	8345257	GOODM_0170189	Angptl4	chr17	-	33911845	33918451
9830	GOODH_1190248	C19orf60	chr19	+	18560495	18564147	GOODM_0080178	2810428I15Rik	chr8	-	73028195	73030638
9831	GOODH_1210049	WRB	chr21	+	39674140	39691486	GOODM_1160260	Wrb	chr16	+	96367026	96379459
9832	GOODH_1020426	ITGAV	chr2	+	187163045	187253872	GOODM_1020290	Itgav	chr2	+	83564554	83647073
9833	GOODH_0160219	CES1	chr16	-	54394267	54424576	GOODM_0080270	LOC382044	chr8	-	95580626	95603916
9834	GOODH_1070376	OR2F2	chr7	+	143263259	143264211	GOODM_1060119	Olfr38	chr6	+	42712053	42713006
9835	GOODH_1070216	CPSF4	chr7	+	98874499	98892932	GOODM_1050523	Cpsf4	chr5	+	145928093	145942909
9836	GOODH_1080108	C8orf4	chr8	+	40130146	40131978	GOODM_0080070	1810011O10Rik	chr8	-	25548088	25549418
9837	GOODH_1020072	BRE	chr2	+	27966986	28415269	GOODM_1050093	Bre	chr5	+	32000423	32387112
9838	GOODH_1110257	MS4A3	chr11	+	59580677	59595163	GOODM_0190135	Ms4a3	chr19	-	11703987	11715324
9839	GOODH_1110417	RNF121	chr11	+	71317731	71386289	GOODM_0070542	Rnf121	chr7	-	109168386	109213646
9840	GOODH_1040270	NARG1	chr4	+	140442126	140531385	GOODM_1030069	Narg1	chr3	+	51220064	51277953
9841	GOODH_0160108	RRN3	chr16	-	15061382	15095659	GOODM_1160032	Rrn3	chr16	+	13780792	13814934
9842	GOODH_0170172	LOC201229	chr17	-	23229468	23244536	GOODM_1110408	1810012P15Rik	chr11	+	78640097	78657401
9843	GOODH_1100010	UCN3	chr10	+	5396976	5406169	GOODM_0130004	Ucn3	chr13	-	3939937	3944595
9844	GOODH_0030150	MON1A	chr3	-	49921310	49942261	GOODM_1090459	Mon1a	chr9	+	107790513	107805456
9845	GOODH_0170209	C17orf75	chr17	-	27682502	27693302	GOODM_0110386	5730455P16Rik	chr11	-	80174701	80191498
9846	GOODH_0200100	CDK5RAP1	chr20	-	31410306	31452998	GOODM_0020690	Cdk5rap1	chr2	-	154161122	154198455
9847	GOODH_0110036	NUP98	chr11	-	3652817	3775468	GOODM_0070545	Nup98	chr7	-	109282717	109358634
9848	GOODH_0110351	PTPRCAP	chr11	-	66959557	66961729	GOODM_1190018	Ptprcap	chr19	+	4154646	4156710
9849	GOODH_0010027	MORN1	chr1	-	2242556	2312853	GOODM_1040554	Morn1	chr4	+	154460686	154519616
9850	GOODH_1170059	CENTB1	chr17	+	7180597	7195518	GOODM_0110279	Centb1	chr11	-	69695069	69709041
9851	GOODH_1170249	HSD17B1	chr17	+	37957510	37960757	GOODM_1110568	Hsd17b1	chr11	+	100939725	100941819
9852	GOODH_1080213	SPAG1	chr8	+	101239439	101323306	GOODM_1150059	Spag1	chr15	+	36109285	36164932
9853	GOODH_1170181	CCL7	chr17	+	29621353	29623368	GOODM_1110426	Ccl12	chr11	+	81915347	81916901
9854	GOODH_1190269	ZNF714	chr19	+	21056811	21099723	GOODM_1120286	Zfp386	chr12	+	117285935	117299062
9855	GOODH_1190467	GRLF1	chr19	+	52113773	52200173	GOODM_0070113	Grlf1	chr7	-	17079822	17200342
9856	GOODH_1110152	HIPK3	chr11	+	33235744	33332515	GOODM_0020471	Hipk3	chr2	-	104269921	104334401
9857	GOODH_1110500	CUL5	chr11	+	107384618	107483694	GOODM_0090220	Cul5	chr9	-	53424975	53475582
9858	GOODH_1010958	NLRP3	chr1	+	245646098	245679027	GOODM_1110212	Nlrp3	chr11	+	59356188	59380458
9859	GOODH_1090057	UNC13B	chr9	+	35151989	35395331	GOODM_1040081	Unc13b	chr4	+	43071856	43277745
9860	GOODH_1090203	TRIM32	chr9	+	118489402	118503400	GOODM_1040165	Trim32	chr4	+	65266052	65277272
9861	GOODH_1100028	OPTN	chr10	+	13182088	13220282	GOODM_0020008	Optn	chr2	-	4941688	4984984
9862	GOODH_0090182	FANCC	chr9	-	96901159	97119812	GOODM_0130236	Fancc	chr13	-	63406017	63533053
9863	GOODH_1080248	NDUFB9	chr8	+	125620524	125631408	GOODM_1150093	Ndufb9	chr15	+	58765365	58771044
9864	GOODH_1080279	GRINA	chr8	+	145136214	145139571	GOODM_1150120	Grina	chr15	+	76077237	76080334
9865	GOODH_0170542	TK1	chr17	-	73681755	73694880	GOODM_0110711	Tk1	chr11	-	117676840	117687267
9866	GOODH_0120033	SPSB2	chr12	-	6850363	6852713	GOODM_1060415	Spsb2	chr6	+	124758959	124760632
9867	GOODH_0170169	MGC33894	chr17	-	21082777	21097171	GOODM_0110220	Gtlf3b	chr11	-	60715748	60727292
9868	GOODH_0110015	CEND1	chr11	-	777110	780126	GOODM_0070854	Cend1	chr7	-	148612350	148615319
9869	GOODH_0010235	FHL3	chr1	-	38235031	38243821	GOODM_1040345	Fhl3	chr4	+	124377954	124385855
9870	GOODH_0020552	PASK	chr2	-	241694188	241737551	GOODM_0010229	Pask	chr1	-	95206014	95234151
9871	GOODH_1150201	MORF4L1	chr15	+	76952227	76977127	GOODM_0090355	Morf4l1	chr9	-	89986507	90009600
9872	GOODH_1160329	NIP7	chr16	+	67931047	67934508	GOODM_1080386	Nip7	chr8	+	109580777	109583145
9873	GOODH_1160405	DPEP1	chr16	+	88214501	88232338	GOODM_1080457	Dpep1	chr8	+	125710135	125725713
9874	GOODH_1010887	HLX	chr1	+	219119382	219125018	GOODM_0010478	Hlx	chr1	-	186551024	186556487
9875	GOODH_1060157	HSPA1B	chr6	+	31903491	31906010	GOODM_0170216	Hspa1a	chr17	-	35106304	35109101
9876	GOODH_1140054	CPNE6	chr14	+	23610596	23617135	GOODM_1140172	Cpne6	chr14	+	56130197	56136267
9877	GOODH_0120351	CCDC41	chr12	-	93226189	93377895	GOODM_1100309	Ccdc41	chr10	+	94151535	94253081
9878	GOODH_0160028	IFT140	chr16	-	1500432	1597301	GOODM_1170114	Ift140	chr17	+	25153668	25236431
9879	GOODH_10X0164	FOXR2	chrX	+	55666558	55668482	GOODM_10X0357	EG436240	chrX	+	149553329	149567404
9880	GOODH_0200034	SPEF1	chr20	-	3706152	3710102	GOODM_0020613	Spef1	chr2	-	130995997	131000546
9881	GOODH_0220070	THOC5	chr22	-	28234157	28279736	GOODM_1110021	Thoc5	chr11	+	4795346	4828868
9882	GOODH_1010193	XKR8	chr1	+	28159091	28167191	GOODM_0040414	Xkr8	chr4	-	132280819	132288461
9883	GOODH_0010566	S100A16	chr1	-	151845991	151852138	GOODM_1030188	S100a16	chr3	+	90345145	90347073
9884	GOODH_0170199	SLC6A4	chr17	-	25549032	25586841	GOODM_1110381	Slc6a4	chr11	+	76812099	76845843
9885	GOODH_0170505	C17orf28	chr17	-	70458435	70480411	GOODM_0110677	C630004H02Rik	chr11	-	115209023	115229033
9886	GOODH_00X0331	MAGEA1	chrX	-	152134716	152139310	GOODM_0020562	Mageb3	chr2	-	121779507	121781828
9887	GOODH_0040035	GRPEL1	chr4	-	7112681	7120701	GOODM_1050124	Grpel1	chr5	+	36807834	36816726
9888	GOODH_0070174	STYXL1	chr7	-	75463592	75515257	GOODM_0050428	Styxl1	chr5	-	136223519	136254161
9889	GOODH_1150101	SCG3	chr15	+	49760842	49800514	GOODM_0090318	Scg3	chr9	-	75491181	75531824
9890	GOODH_1150118	GCNT3	chr15	+	57696080	57699494	GOODM_0090301	Gcnt3	chr9	-	69879303	69885895
9891	GOODH_1020560	GIGYF2	chr2	+	233270259	233433531	GOODM_1010209	Gigyf2	chr1	+	89223573	89347385
9892	GOODH_0040071	TLR6	chr4	-	38504803	38507555	GOODM_0050135	Tlr1	chr5	-	65316073	65323938
9893	GOODH_1190590	SUV420H2	chr19	+	60543076	60551300	GOODM_1070018	Suv420h2	chr7	+	4691729	4699116
9894	GOODH_1040188	ENOPH1	chr4	+	83570787	83601264	GOODM_1050260	Enoph1	chr5	+	100469033	100497781
9895	GOODH_1070274	CBLL1	chr7	+	107171822	107187260	GOODM_0120042	Cbll1	chr12	-	32171764	32184405
9896	GOODH_1020256	IL18RAP	chr2	+	102401686	102435454	GOODM_1010072	Il18rap	chr1	+	40572207	40606142
9897	GOODH_1090245	SLC25A25	chr9	+	129870300	129911344	GOODM_0020136	Slc25a25	chr2	-	32270007	32306939
9898	GOODH_10X0406	F8A1	chrX	+	154264943	154266643	GOODM_10X0173	F8a	chrX	+	70473645	70476134
9899	GOODH_1110170	LOC390110	chr11	+	44026107	44038103	GOODM_0020453	Gm1967	chr2	-	93695520	93709260
9900	GOODH_0090065	AQP7	chr9	-	33374949	33392517	GOODM_0040062	Aqp7	chr4	-	40980107	40995169
9901	GOODH_0090316	PTGES	chr9	-	131540433	131555165	GOODM_0020124	Ptges	chr2	-	30744991	30758817
9902	GOODH_1090187	KIAA1958	chr9	+	114289069	114462527	GOODM_1040149	E130308A19Rik	chr4	+	59639093	59767175
9903	GOODH_0190274	GMIP	chr19	-	19601286	19615455	GOODM_1080183	Gmip	chr8	+	72332586	72345769
9904	GOODH_0120224	KRT79	chr12	-	51501499	51514344	GOODM_0150340	Krt79	chr15	-	101759763	101770755
9905	GOODH_0120265	APOF	chr12	-	55040622	55042850	GOODM_1100394	Apof	chr10	+	127705053	127707207
9906	GOODH_0030044	EFHB	chr3	-	19895970	19950710	GOODM_0170344	Efhb	chr17	-	53538214	53602646
9907	GOODH_1030147	DHX30	chr3	+	47819655	47866686	GOODM_0090450	Dhx30	chr9	-	109986824	110018086
9908	GOODH_0170393	HOXB8	chr17	-	44044708	44047300	GOODM_1110506	Hoxb8	chr11	+	96143219	96146639
9909	GOODH_0050264	MGC23985	chr5	-	147252464	147266294	GOODM_0180098	Gm94	chr18	-	43936850	43952532
9910	GOODH_0070010	PSMG3	chr7	-	1573495	1576155	GOODM_0050475	Psmg3	chr5	-	140299548	140302797
9911	GOODH_0010147	C1orf201	chr1	-	24556076	24600536	GOODM_1040427	4930555I21Rik	chr4	+	135051902	135093718
9912	GOODH_1160235	ADCY7	chr16	+	48879324	48909544	GOODM_1080296	Adcy7	chr8	+	90796302	90853861
9913	GOODH_1190027	MIDN	chr19	+	1199552	1210139	GOODM_1100231	Midn	chr10	+	79611035	79621112
9914	GOODH_1120357	TXNRD1	chr12	+	103133689	103268192	GOODM_1100273	Txnrd1	chr10	+	82296696	82360469
9915	GOODH_1130085	OLFM4	chr13	+	52500973	52524187	GOODM_1140278	Olfm4	chr14	+	80400109	80421737
9916	GOODH_0170031	OR1E1	chr17	-	3247510	3248454	GOODM_1110344	Olfr386	chr11	+	73416084	73417022
9917	GOODH_1110203	OR4A16	chr11	+	54867253	54868237	GOODM_0020405	Olfr1240	chr2	-	89279490	89280434
9918	GOODH_1170417	CDR2L	chr17	+	70495322	70513487	GOODM_1110660	Cdr2l	chr11	+	115243230	115257446
9919	GOODH_1010824	ATP2B4	chr1	+	201862551	201979830	GOODM_0010301	Atp2b4	chr1	-	135603234	135649858
9920	GOODH_1020355	ARL6IP6	chr2	+	153283376	153325669	GOODM_1020212	Arl6ip6	chr2	+	53051145	53078060
9921	GOODH_1020490	ATIC	chr2	+	215885081	215922722	GOODM_1010142	Atic	chr1	+	71603748	71625978
9922	GOODH_0160225	NIP30	chr16	-	55743879	55777477	GOODM_0080280	2310065K24Rik	chr8	-	97098841	97113277
9923	GOODH_10X0324	DDX26B	chrX	+	134482221	134544126	GOODM_10X0136	Ddx26b	chrX	+	53708054	53761016
9924	GOODH_1100321	HTRA1	chr10	+	124211047	124264413	GOODM_1070733	Htra1	chr7	+	138079749	138129167
9925	GOODH_1030264	ZPLD1	chr3	+	103636549	103681375	GOODM_0160195	Zpld1	chr16	-	55225288	55283350
9926	GOODH_0190200	PODNL1	chr19	-	13904166	13910289	GOODM_1080268	Podnl1	chr8	+	86649888	86656466
9927	GOODH_0120160	HDAC7A	chr12	-	46462774	46500030	GOODM_0150282	Hdac7	chr15	-	97623112	97662102
9928	GOODH_0070271	RELN	chr7	-	102899473	103417198	GOODM_0050031	Reln	chr5	-	21390272	21850523
9929	GOODH_0010347	SERBP1	chr1	-	67646083	67668711	GOODM_1060211	Serbp1	chr6	+	67216973	67239296
9930	GOODH_0010394	TGFBR3	chr1	-	91920575	92124243	GOODM_0050261	Tgfbr3	chr5	-	107535589	107718539
9931	GOODH_00X0271	APLN	chrX	-	128607007	128616595	GOODM_00X0106	Apln	chrX	-	45378323	45388029
9932	GOODH_0100269	OBFC1	chr10	-	105632291	105667956	GOODM_0190293	Obfc1	chr19	-	47575538	47611510
9933	GOODH_0110340	SLC29A2	chr11	-	65886569	65895867	GOODM_1190029	Slc29a2	chr19	+	5026106	5031964
9934	GOODH_1130048	COG6	chr13	+	39127814	39224632	GOODM_0030070	Cog6	chr3	-	52786045	52821145
9935	GOODH_1150045	RAD51	chr15	+	38774651	38811648	GOODM_1020475	Rad51	chr2	+	118938553	118961806
9936	GOODH_1100269	CNNM2	chr10	+	104668104	104828228	GOODM_1190287	Cnnm2	chr19	+	46836099	46953070
9937	GOODH_1050011	NDUFS6	chr5	+	1854509	1869163	GOODM_0130271	Ndufs6	chr13	-	73457324	73465903
9938	GOODH_0010336	CYP2J2	chr1	-	60131569	60165011	GOODM_0040236	Cyp2j5	chr4	-	96294123	96330810
9939	GOODH_0080300	EEF1D	chr8	-	144733041	144750726	GOODM_0150130	Eef1d	chr15	-	75725230	75739770
9940	GOODH_1090143	HABP4	chr9	+	98252235	98293439	GOODM_1130224	Habp4	chr13	+	64263174	64287845
9941	GOODH_1090232	LMX1B	chr9	+	128416569	128503132	GOODM_0020148	Lmx1b	chr2	-	33420156	33496031
9942	GOODH_0120086	HEBP1	chr12	-	13019068	13044488	GOODM_0060450	Hebp1	chr6	-	135087537	135118233
9943	GOODH_0120328	PPP1R12A	chr12	-	78692317	78852842	GOODM_1100330	Ppp1r12a	chr10	+	107599456	107714631
9944	GOODH_0160268	SLC12A4	chr16	-	66535731	66560026	GOODM_0080323	Slc12a4	chr8	-	108467493	108489939
9945	GOODH_0030148	CAMKV	chr3	-	49870426	49882373	GOODM_1090462	Camkv	chr9	+	107838251	107852022
9946	GOODH_0170381	SP6	chr17	-	43277279	43288239	GOODM_1110518	Sp6	chr11	+	96874883	96886048
9947	GOODH_0190033	AP3D1	chr19	-	2051994	2102556	GOODM_0100220	Ap3d1	chr10	-	80169723	80204956
9948	GOODH_0010505	HIST2H2AB	chr1	-	148125644	148126090	GOODM_1030251	Hist2h2ab	chr3	+	96023839	96024231
9949	GOODH_0010635	OR10K2	chr1	-	156656342	156657280	GOODM_1080255	Olfr370	chr8	+	86065045	86065989
9950	GOODH_0020503	FAM124B	chr2	-	224951660	224974955	GOODM_0010183	A830043J08Rik	chr1	-	80195281	80210519
9951	GOODH_0110245	GLYAT	chr11	-	58232807	58256023	GOODM_1190129	Glyat	chr19	+	12707798	12726227
9952	GOODH_0040087	GABRA2	chr4	-	45946339	46086813	GOODM_0050150	Gabra2	chr5	-	71352296	71487088
9953	GOODH_0060465	RSPH3	chr6	-	159318255	159341186	GOODM_1170017	Rshl2a	chr17	+	8138479	8172421
9954	GOODH_00X0152	DGAT2L4	chrX	-	69177117	69186513	GOODM_00X0222	Dgat2l4	chrX	-	97597561	97607901
9955	GOODH_0100244	MRPL43	chr10	-	102727569	102737262	GOODM_0190270	Mrpl43	chr19	-	45079504	45080932
9956	GOODH_0110217	OR5M3	chr11	-	55993628	55994549	GOODM_1020320	Olfr1032	chr2	+	85847935	85848867
9957	GOODH_1170092	NDEL1	chr17	+	8279904	8312196	GOODM_0110248	Ndel1	chr11	-	68634949	68666555
9958	GOODH_1210045	DYRK1A	chr21	+	37661729	37809548	GOODM_1160257	Dyrk1a	chr16	+	94791813	94917126
9959	GOODH_1220107	KCTD17	chr22	+	35777725	35789376	GOODM_1150146	Kctd17	chr15	+	78259058	78269733
9960	GOODH_1140007	OR4K5	chr14	+	19458606	19459575	GOODM_0140128	Olfr729	chr14	-	50767576	50768547
9961	GOODH_1010368	RAVER2	chr1	+	64983366	65071500	GOODM_1040217	Raver2	chr4	+	100741643	100824975
9962	GOODH_0160281	EXOSC6	chr16	-	68841635	68843334	GOODM_1080405	Aars	chr8	+	113557867	113581499
9963	GOODH_1190478	CRX	chr19	+	53016911	53038392	GOODM_0070102	Crx	chr7	-	16451296	16465304
9964	GOODH_0130127	EBI2	chr13	-	98744791	98757695	GOODM_0140348	Ebi2	chr14	-	122351553	122364415
9965	GOODH_0160205	ITFG1	chr16	-	45746799	46052516	GOODM_0080257	Itfg1	chr8	-	88242439	88364671
9966	GOODH_1070324	CPA5	chr7	+	129771923	129795807	GOODM_1060061	Cpa5	chr6	+	30561010	30581521
9967	GOODH_1030004	TRNT1	chr3	+	3143600	3165706	GOODM_1060324	Trnt1	chr6	+	106719166	106732463
9968	GOODH_0180110	NETO1	chr18	-	68565767	68685790	GOODM_1180230	Neto1	chr18	+	86564344	86670665
9969	GOODH_0130125	DOCK9	chr13	-	98243745	98536661	GOODM_0140346	Dock9	chr14	-	121941261	122097639
9970	GOODH_0010573	SLC39A1	chr1	-	152198213	152206812	GOODM_1030181	Slc39a1	chr3	+	90052152	90057534
9971	GOODH_0010617	NES	chr1	-	154905182	154913813	GOODM_1030145	Nes	chr3	+	87775015	87784373
9972	GOODH_0010754	KCNT2	chr1	-	194461536	194844122	GOODM_1010353	Kcnt2	chr1	+	142142834	142506838
9973	GOODH_00X0351	SLC10A3	chrX	-	153368842	153372189	GOODM_00X0180	Slc10a3	chrX	-	71614558	71618595
9974	GOODH_0060408	TAAR1	chr6	-	133007816	133008835	GOODM_1100047	Taar1	chr10	+	23640212	23641210
9975	GOODH_0010522	SEMA6C	chr1	-	149370789	149385728	GOODM_1030234	Sema6c	chr3	+	94968296	94977238
9976	GOODH_1170163	CPD	chr17	+	25730110	25819825	GOODM_0110357	Cpd	chr11	-	76590710	76660510
9977	GOODH_1170246	STAT5A	chr17	+	37693091	37717484	GOODM_1110565	Stat5a	chr11	+	100720717	100746483
9978	GOODH_1070025	OCM	chr7	+	5886955	5892520	GOODM_0050501	Ocm	chr5	-	144780676	144811478
9979	GOODH_1180020	TWSG1	chr18	+	9324851	9392417	GOODM_0170398	Twsg1	chr17	-	66272406	66300470
9980	GOODH_1150222	ZNF592	chr15	+	83092822	83150665	GOODM_1070431	Zfp592	chr7	+	88138570	88187581
9981	GOODH_1070200	CASD1	chr7	+	93977120	94024215	GOODM_1060005	Casd1	chr6	+	4551066	4593381
9982	GOODH_1070283	TES	chr7	+	115637817	115686071	GOODM_1060021	Tes	chr6	+	17015149	17055825
9983	GOODH_1010343	MRPL37	chr1	+	54438428	54456644	GOODM_0040255	Mrpl37	chr4	-	106728487	106739450
9984	GOODH_0150101	LEO1	chr15	-	50017517	50051250	GOODM_1090364	Leo1	chr9	+	75289331	75314239
9985	GOODH_1090060	CCDC107	chr9	+	35648311	35651183	GOODM_1040085	LOC622404	chr4	+	43506276	43508792
9986	GOODH_1050043	SKP2	chr5	+	36187946	36219902	GOODM_0150010	Skp2	chr15	-	9041742	9070207
9987	GOODH_0170351	HDAC5	chr17	-	39509647	39556540	GOODM_0110594	Hdac5	chr11	-	102057061	102091486
9988	GOODH_0200012	SDCBP2	chr20	-	1238621	1257838	GOODM_1020622	Sdcbp2	chr2	+	151398368	151415735
9989	GOODH_0120093	WBP11	chr12	-	14830680	14847668	GOODM_0060457	Wbp11	chr6	-	136762177	136776649
9990	GOODH_0110097	NLRP10	chr11	-	7937734	7941635	GOODM_0070674	Nlrp10	chr7	-	116065367	116073672
9991	GOODH_0070096	HERPUD2	chr7	-	35638797	35701254	GOODM_0090084	Herpud2	chr9	-	24912577	24956075
9992	GOODH_0020280	IL1F8	chr2	-	113496139	113526911	GOODM_1020049	Il1f8	chr2	+	24008692	24015623
9993	GOODH_1010383	FPGT	chr1	+	74436514	74782696	GOODM_0030443	Fpgt	chr3	-	154747883	154756342
9994	GOODH_1060110	OR2H1	chr6	+	29534209	29540076	GOODM_0170266	Olfr93	chr17	-	37287977	37288915
9995	GOODH_1140186	COQ6	chr14	+	73486396	73499564	GOODM_1120170	Coq6	chr12	+	85702997	85714740
9996	GOODH_1070141	AUTS2	chr7	+	68702255	69895790	GOODM_0050405	Auts2	chr5	-	131913552	133018213
9997	GOODH_1020124	C2orf30	chr2	+	53867721	53899436	GOODM_0110083	4933407N01Rik	chr11	-	30829784	30854131
9998	GOODH_1020467	CYP20A1	chr2	+	203811409	203878808	GOODM_1010122	Cyp20a1	chr1	+	60400216	60444231
9999	GOODH_0150250	C15orf38	chr15	-	88244836	88257163	GOODM_0070443	2610034B18Rik	chr7	-	87070245	87080150
10000	GOODH_1100095	NCOA4	chr10	+	51242373	51260738	GOODM_1140081	Ncoa4	chr14	+	32973078	32992549
10001	GOODH_1100223	ZNF518A	chr10	+	97879462	97913500	GOODM_1190240	Zfp518	chr19	+	40969195	40992437
10002	GOODH_1010215	IQCC	chr1	+	32443859	32446875	GOODM_0040391	Iqcc	chr4	-	129292861	129296337
10003	GOODH_0120267	MIP	chr12	-	55130152	55134696	GOODM_1100391	Mip	chr10	+	127662894	127668867
10004	GOODH_0120343	EPYC	chr12	-	89881592	89922934	GOODM_1100316	Epyc	chr10	+	97106702	97144534
10005	GOODH_0190071	DPP9	chr19	-	4626237	4674875	GOODM_0170362	Dpp9	chr17	-	56326105	56358259
10006	GOODH_0190203	PRKACA	chr19	-	14063509	14089559	GOODM_1080263	Prkaca	chr8	+	86496887	86520336
10007	GOODH_0200218	NKAIN4	chr20	-	61342584	61356335	GOODM_0020821	Nkain4	chr2	-	180669477	180689399
10008	GOODH_0070085	NOD1	chr7	-	30430675	30484790	GOODM_0060145	Nod1	chr6	-	54873943	54922405
10009	GOODH_0070275	ATXN7L1	chr7	-	105032457	105304267	GOODM_1120058	Atxn7l1	chr12	+	33832558	34053142
10010	GOODH_0010826	TMEM206	chr1	-	210604439	210654890	GOODM_1010519	Tmem206	chr1	+	193149844	193176804
10011	GOODH_00X0173	ABCB7	chrX	-	74189832	74292857	GOODM_00X0245	Abcb7	chrX	-	101475904	101609185
10012	GOODH_0100169	AP3M1	chr10	-	75550022	75580832	GOODM_0140040	Ap3m1	chr14	-	21854032	21871407
10013	GOODH_0030474	LEPREL1	chr3	-	191157316	191321412	GOODM_0160117	Leprel1	chr16	-	25960409	26105870
10014	GOODH_1170115	MED9	chr17	+	17321025	17337259	GOODM_1110216	Med9	chr11	+	59761716	59776808
10015	GOODH_0160183	ZNF785	chr16	-	30499495	30504511	GOODM_0070773	Zfp688	chr7	-	134562479	134565536
10016	GOODH_1180120	CNDP2	chr18	+	70314577	70339336	GOODM_0180179	Cndp2	chr18	-	84836861	84855025
10017	GOODH_1120301	TBC1D15	chr12	+	70519806	70604362	GOODM_0100309	Tbc1d15	chr10	-	114635514	114688521
10018	GOODH_1070239	MOSPD3	chr7	+	100047661	100050934	GOODM_0050447	Mospd3	chr5	-	138037875	138042268
10019	GOODH_1070415	NUB1	chr7	+	150669791	150706463	GOODM_1050050	Nub1	chr5	+	24191633	24216373
10020	GOODH_1020216	C2orf51	chr2	+	88605284	88610217	GOODM_0060183	1700011F03Rik	chr6	-	70863083	70868916
10021	GOODH_1090070	CLTA	chr9	+	36180892	36202055	GOODM_1040097	Clta	chr4	+	44025515	44045718
10022	GOODH_1110058	OR51B6	chr11	+	5329314	5330251	GOODM_1070550	Olfr65	chr7	+	111051971	111056050
10023	GOODH_1060321	SPACA1	chr6	+	88814226	88833268	GOODM_0040045	Spaca1	chr4	-	34115289	34137042
10024	GOODH_0090001	WASH1	chr9	-	4511	19739	GOODM_1170410	ORF19	chr17	+	66460886	66469843
10025	GOODH_0090138	GNA14	chr9	-	79228369	79453043	GOODM_1190161	Gna14	chr19	+	16510157	16685308
10026	GOODH_1080229	EBAG9	chr8	+	110621105	110646565	GOODM_1150075	Ebag9	chr15	+	44451187	44472572
10027	GOODH_0210087	CBS	chr21	-	43346372	43369493	GOODM_0170164	Cbs	chr17	-	31749589	31774086
10028	GOODH_1010180	ZDHHC18	chr1	+	27025788	27054794	GOODM_0040427	Zdhhc18	chr4	-	133162907	133189344
10029	GOODH_0080199	CDH17	chr8	-	95208568	95289986	GOODM_1040017	Cdh17	chr4	+	11685304	11745052
10030	GOODH_0030189	ACTR8	chr3	-	53876195	53891227	GOODM_1140059	Actr8	chr14	+	30791579	30806399
10031	GOODH_1030178	ARMET	chr3	+	51397743	51401815	GOODM_0090411	Armet	chr9	-	106789746	106794269
10032	GOODH_0170564	C17orf70	chr17	-	77117387	77129868	GOODM_0110730	2310003H01Rik	chr11	-	120230876	120240060
10033	GOODH_0110175	LRRC4C	chr11	-	40092329	40272240	GOODM_1020408	Lrrc4c	chr2	+	97307814	97471821
10034	GOODH_0050082	CCNO	chr5	-	54562738	54565265	GOODM_1130320	Ccno	chr13	+	113778010	113780986
10035	GOODH_0030169	DUSP7	chr3	-	52059799	52065329	GOODM_1090441	Dusp7	chr9	+	106270963	106278052
10036	GOODH_1140019	RNASE10	chr14	+	20048471	20049120	GOODM_1140139	Rnase10	chr14	+	51627604	51630433
10037	GOODH_1150063	TMEM62	chr15	+	41213014	41264628	GOODM_1020495	Tmem62	chr2	+	120802798	120833578
10038	GOODH_1190226	FAM125A	chr19	+	17391912	17397140	GOODM_1080215	1110012M11Rik	chr8	+	74066829	74071925
10039	GOODH_1220199	MAPK8IP2	chr22	+	49385997	49396844	GOODM_1150232	Mapk8ip2	chr15	+	89284563	89292878
10040	GOODH_1130096	UCHL3	chr13	+	75021928	75078067	GOODM_1140285	Uchl3	chr14	+	102053184	102095342
10041	GOODH_1120170	METTL7A	chr12	+	49604801	49612566	GOODM_1150274	ENSMUSG00000058057	chr15	+	100165360	100170600
10042	GOODH_1180044	RIOK3	chr18	+	19286785	19317097	GOODM_1180019	Riok3	chr18	+	12287359	12315876
10043	GOODH_1190091	ALKBH7	chr19	+	6323444	6326040	GOODM_1170400	Alkbh7	chr17	+	57136776	57138745
10044	GOODH_0120275	RDH16	chr12	-	55631483	55637685	GOODM_1100383	BC089597	chr10	+	127303544	127314373
10045	GOODH_0150216	BCL2A1	chr15	-	78040287	78050698	GOODM_1090393	Bcl2a1a	chr9	+	88851758	88857254
10046	GOODH_1120057	CLEC4A	chr12	+	8167495	8182470	GOODM_1060400	Clec4b1	chr6	+	123000024	123021562
10047	GOODH_1080088	RBM13	chr8	+	33462259	33478317	GOODM_0080094	Rbm13	chr8	-	32269940	32279196
10048	GOODH_1010301	KIF2C	chr1	+	44978077	45006025	GOODM_0040299	Kif2c	chr4	-	116832266	116855169
10049	GOODH_1010681	NHLH1	chr1	+	158603485	158609262	GOODM_0010430	Nhlh1	chr1	-	173982423	173987727
10050	GOODH_1110228	OR5AR1	chr11	+	56187738	56188668	GOODM_0020295	Olfr1019	chr2	-	85681014	85681946
10051	GOODH_1040125	SRP72	chr4	+	57028519	57064603	GOODM_1050196	Srp72	chr5	+	77403726	77428960
10052	GOODH_1070310	CALU	chr7	+	128166672	128198763	GOODM_1060048	Calu	chr6	+	29298119	29326675
